Mercado,Producto,Fecha,Precio $/KG,Dia,Mes,Anio
Arauca (Arauca),Aguacate papelillo ,2018-10-01,4481.0,1,Octubre,2018
Arauca (Arauca),Aguacate papelillo ,2018-11-01,4500.0,1,Noviembre,2018
Arauca (Arauca),Aguacate papelillo ,2019-01-01,5119.0,1,Enero,2019
Arauca (Arauca),Aguacate papelillo ,2019-02-01,5000.0,1,Febrero,2019
Arauca (Arauca),Aguacate papelillo ,2019-03-01,5625.0,1,Marzo,2019
Arauca (Arauca),Aguacate papelillo ,2019-04-01,6692.0,1,Abril,2019
Arauca (Arauca),Aguacate papelillo ,2019-07-01,4678.0,1,Julio,2019
Arauca (Arauca),Aguacate papelillo ,2019-08-01,4507.0,1,Agosto,2019
Arauca (Arauca),Aguacate papelillo ,2019-09-01,5611.0,1,Septiembre,2019
Arauca (Arauca),Aguacate papelillo ,2019-10-01,5337.0,1,Octubre,2019
Arauca (Arauca),Aguacate papelillo ,2019-11-01,5292.0,1,Noviembre,2019
Arauca (Arauca),Aguacate papelillo ,2019-12-01,5176.0,1,Diciembre,2019
Arauca (Arauca),Aguacate papelillo ,2020-03-01,5983.0,1,Marzo,2020
Arauca (Arauca),Aguacate papelillo ,2020-05-01,5213.0,1,Mayo,2020
Arauca (Arauca),Aguacate papelillo ,2020-06-01,4626.0,1,Junio,2020
Arauca (Arauca),Aguacate papelillo ,2020-09-01,5178.0,1,Septiembre,2020
Arauca (Arauca),Aguacate papelillo ,2020-10-01,6263.0,1,Octubre,2020
Arauca (Arauca),Aguacate papelillo ,2020-11-01,6479.0,1,Noviembre,2020
Arauca (Arauca),Aguacate papelillo ,2020-12-01,6475.0,1,Diciembre,2020
Arauca (Arauca),Aguacate papelillo ,2021-01-01,6721.0,1,Enero,2021
Arauca (Arauca),Aguacate papelillo ,2021-02-01,6375.0,1,Febrero,2021
Arauca (Arauca),Aguacate papelillo ,2021-03-01,5889.0,1,Marzo,2021
Arauca (Arauca),Aguacate papelillo ,2021-04-01,6267.0,1,Abril,2021
Arauca (Arauca),Aguacate papelillo ,2021-06-01,6619.0,1,Junio,2021
Arauca (Arauca),Aguacate papelillo ,2021-07-01,6025.0,1,Julio,2021
Arauca (Arauca),Aguacate papelillo ,2021-08-01,5430.0,1,Agosto,2021
Arauca (Arauca),Aguacate papelillo ,2021-10-01,6308.0,1,Octubre,2021
Arauca (Arauca),Aguacate papelillo ,2021-11-01,6404.0,1,Noviembre,2021
Arauca (Arauca),Aguacate papelillo ,2022-02-01,7425.0,1,Febrero,2022
Arauca (Arauca),Aguacate papelillo ,2022-03-01,7230.0,1,Marzo,2022
Arauca (Arauca),Aguacate papelillo ,2022-05-01,7367.0,1,Mayo,2022
Arauca (Arauca),Aguacate papelillo ,2022-07-01,7058.0,1,Julio,2022
Arauca (Arauca),Aguacate papelillo ,2022-09-01,6239.0,1,Septiembre,2022
Arauca (Arauca),Aguacate papelillo ,2022-11-01,7933.0,1,Noviembre,2022
Arauca (Arauca),Aguacate papelillo ,2022-12-01,8417.0,1,Diciembre,2022
Arauca (Arauca),Aguacate papelillo ,2023-01-01,8567.0,1,Enero,2023
Arauca (Arauca),Aguacate papelillo ,2023-05-01,8483.0,1,Mayo,2023
Arauca (Arauca),Aguacate papelillo ,2023-06-01,6844.0,1,Junio,2023
Arauca (Arauca),Aguacate papelillo ,2023-08-01,6285.0,1,Agosto,2023
Arauca (Arauca),Aguacate papelillo ,2023-09-01,8119.0,1,Septiembre,2023
Arauca (Arauca),Aguacate papelillo ,2023-10-01,9800.0,1,Octubre,2023
Arauca (Arauca),Aguacate papelillo ,2024-02-01,11406.0,1,Febrero,2024
Arauca (Arauca),Aguacate papelillo ,2024-03-01,12781.0,1,Marzo,2024
Arauca (Arauca),Aguacate papelillo ,2024-07-01,6078.0,1,Julio,2024
Arauca (Arauca),Aguacate papelillo ,2024-09-01,9536.0,1,Septiembre,2024
Arauca (Arauca),Aguacate papelillo ,2024-10-01,10650.0,1,Octubre,2024
Arauca (Arauca),Aguacate papelillo ,2024-11-01,10225.0,1,Noviembre,2024
