Producto,Fecha,Precio $/KG,Unidad
Cacao Nacional,7/1/2013,3762.5,CO$/KG
Cacao Nacional,7/8/2013,3797.5,CO$/KG
Cacao Nacional,7/15/2013,3737.5,CO$/KG
Cacao Nacional,7/22/2013,3797.5,CO$/KG
Cacao Nacional,7/29/2013,3937.5,CO$/KG
Cacao Nacional,8/5/2013,3897.5,CO$/KG
Cacao Nacional,8/12/2013,4012.5,CO$/KG
Cacao Nacional,8/19/2013,4137.5,CO$/KG
Cacao Nacional,8/26/2013,4217.5,CO$/KG
Cacao Nacional,9/2/2013,4287.5,CO$/KG
Cacao Nacional,9/9/2013,4287.5,CO$/KG
Cacao Nacional,9/16/2013,4462.5,CO$/KG
Cacao Nacional,9/23/2013,4477.5,CO$/KG
Cacao Nacional,9/30/2013,4437.5,CO$/KG
Cacao Nacional,10/7/2013,4487.5,CO$/KG
Cacao Nacional,10/14/2013,4637.5,CO$/KG
Cacao Nacional,10/21/2013,4687.5,CO$/KG
Cacao Nacional,10/28/2013,4687.5,CO$/KG
Cacao Nacional,11/4/2013,4675,CO$/KG
Cacao Nacional,11/11/2013,4712.5,CO$/KG
Cacao Nacional,11/18/2013,4712.5,CO$/KG
Cacao Nacional,11/25/2013,4837.5,CO$/KG
Cacao Nacional,12/2/2013,4887.5,CO$/KG
Cacao Nacional,12/9/2013,4887.5,CO$/KG
Cacao Nacional,12/16/2013,4887.5,CO$/KG
Cacao Nacional,12/23/2013,4887.5,CO$/KG
Cacao Nacional,12/30/2013,4887.5,CO$/KG
Cacao Nacional,1/6/2014,4887.5,CO$/KG
Cacao Nacional,1/13/2014,4687.5,CO$/KG
Cacao Nacional,1/20/2014,4737.5,CO$/KG
Cacao Nacional,1/27/2014,4737.5,CO$/KG
Cacao Nacional,2/3/2014,4937.5,CO$/KG
Cacao Nacional,2/10/2014,5087.5,CO$/KG
Cacao Nacional,2/17/2014,5087.5,CO$/KG
Cacao Nacional,2/23/2014,5300,CO$/KG
Cacao Nacional,3/3/2014,5325,CO$/KG
Cacao Nacional,3/10/2014,5375,CO$/KG
Cacao Nacional,3/17/2014,5375,CO$/KG
Cacao Nacional,3/24/2014,5475,CO$/KG
