Mercado,Producto,Fecha,Precio $/KG,Dia,Mes,Anio
Arauca (Arauca),Maracuyá  ,2016-07-01,2750.0,1,Julio,2016
Arauca (Arauca),Maracuyá  ,2016-08-01,2108.0,1,Agosto,2016
Arauca (Arauca),Maracuyá  ,2016-09-01,1656.0,1,Septiembre,2016
Arauca (Arauca),Maracuyá  ,2016-11-01,1667.0,1,Noviembre,2016
Arauca (Arauca),Maracuyá  ,2016-12-01,1667.0,1,Diciembre,2016
Arauca (Arauca),Maracuyá  ,2017-01-01,1667.0,1,Enero,2017
Arauca (Arauca),Maracuyá  ,2017-05-01,1667.0,1,Mayo,2017
Arauca (Arauca),Maracuyá  ,2017-06-01,1667.0,1,Junio,2017
Arauca (Arauca),Maracuyá  ,2017-08-01,1667.0,1,Agosto,2017
Arauca (Arauca),Maracuyá  ,2017-09-01,1667.0,1,Septiembre,2017
Arauca (Arauca),Maracuyá  ,2017-10-01,1667.0,1,Octubre,2017
Arauca (Arauca),Maracuyá  ,2017-12-01,1778.0,1,Diciembre,2017
Arauca (Arauca),Maracuyá  ,2018-01-01,1875.0,1,Enero,2018
Arauca (Arauca),Maracuyá  ,2018-02-01,1917.0,1,Febrero,2018
Arauca (Arauca),Maracuyá  ,2018-03-01,1956.0,1,Marzo,2018
Arauca (Arauca),Maracuyá  ,2018-04-01,1854.0,1,Abril,2018
Arauca (Arauca),Maracuyá  ,2018-05-01,1850.0,1,Mayo,2018
Arauca (Arauca),Maracuyá  ,2018-06-01,1889.0,1,Junio,2018
Arauca (Arauca),Maracuyá  ,2018-07-01,2033.0,1,Julio,2018
Arauca (Arauca),Maracuyá  ,2018-10-01,2937.0,1,Octubre,2018
Arauca (Arauca),Maracuyá  ,2018-11-01,2667.0,1,Noviembre,2018
Arauca (Arauca),Maracuyá  ,2019-01-01,2315.0,1,Enero,2019
Arauca (Arauca),Maracuyá  ,2019-02-01,2762.0,1,Febrero,2019
Arauca (Arauca),Maracuyá  ,2019-03-01,3760.0,1,Marzo,2019
Arauca (Arauca),Maracuyá  ,2019-04-01,3350.0,1,Abril,2019
Arauca (Arauca),Maracuyá  ,2019-07-01,2604.0,1,Julio,2019
Arauca (Arauca),Maracuyá  ,2019-08-01,2663.0,1,Agosto,2019
Arauca (Arauca),Maracuyá  ,2019-09-01,2556.0,1,Septiembre,2019
Arauca (Arauca),Maracuyá  ,2019-10-01,2644.0,1,Octubre,2019
Arauca (Arauca),Maracuyá  ,2019-11-01,2821.0,1,Noviembre,2019
Arauca (Arauca),Maracuyá  ,2019-12-01,2417.0,1,Diciembre,2019
Arauca (Arauca),Maracuyá  ,2020-03-01,3087.0,1,Marzo,2020
Arauca (Arauca),Maracuyá  ,2020-05-01,2929.0,1,Mayo,2020
Arauca (Arauca),Maracuyá  ,2020-06-01,2341.0,1,Junio,2020
Arauca (Arauca),Maracuyá  ,2020-09-01,2111.0,1,Septiembre,2020
Arauca (Arauca),Maracuyá  ,2020-10-01,2211.0,1,Octubre,2020
Arauca (Arauca),Maracuyá  ,2020-11-01,2062.0,1,Noviembre,2020
Arauca (Arauca),Maracuyá  ,2020-12-01,2030.0,1,Diciembre,2020
Arauca (Arauca),Maracuyá  ,2021-01-01,2238.0,1,Enero,2021
Arauca (Arauca),Maracuyá  ,2021-02-01,2154.0,1,Febrero,2021
Arauca (Arauca),Maracuyá  ,2021-03-01,2352.0,1,Marzo,2021
Arauca (Arauca),Maracuyá  ,2021-04-01,2463.0,1,Abril,2021
Arauca (Arauca),Maracuyá  ,2021-06-01,1956.0,1,Junio,2021
Arauca (Arauca),Maracuyá  ,2021-07-01,2571.0,1,Julio,2021
Arauca (Arauca),Maracuyá  ,2021-08-01,2852.0,1,Agosto,2021
Arauca (Arauca),Maracuyá  ,2021-10-01,2863.0,1,Octubre,2021
Arauca (Arauca),Maracuyá  ,2021-11-01,3294.0,1,Noviembre,2021
Arauca (Arauca),Maracuyá  ,2022-02-01,3219.0,1,Febrero,2022
Arauca (Arauca),Maracuyá  ,2022-03-01,4330.0,1,Marzo,2022
Arauca (Arauca),Maracuyá  ,2022-05-01,3187.0,1,Mayo,2022
Arauca (Arauca),Maracuyá  ,2022-07-01,3467.0,1,Julio,2022
Arauca (Arauca),Maracuyá  ,2022-09-01,3567.0,1,Septiembre,2022
Arauca (Arauca),Maracuyá  ,2022-11-01,3456.0,1,Noviembre,2022
Arauca (Arauca),Maracuyá  ,2022-12-01,3478.0,1,Diciembre,2022
Arauca (Arauca),Maracuyá  ,2023-01-01,3206.0,1,Enero,2023
Arauca (Arauca),Maracuyá  ,2023-05-01,4417.0,1,Mayo,2023
Arauca (Arauca),Maracuyá  ,2023-06-01,3888.0,1,Junio,2023
Arauca (Arauca),Maracuyá  ,2023-08-01,3595.0,1,Agosto,2023
Arauca (Arauca),Maracuyá  ,2023-09-01,4519.0,1,Septiembre,2023
Arauca (Arauca),Maracuyá  ,2023-10-01,4367.0,1,Octubre,2023
Arauca (Arauca),Maracuyá  ,2024-02-01,4494.0,1,Febrero,2024
Arauca (Arauca),Maracuyá  ,2024-03-01,5675.0,1,Marzo,2024
Arauca (Arauca),Maracuyá  ,2024-07-01,3733.0,1,Julio,2024
Arauca (Arauca),Maracuyá  ,2024-09-01,3743.0,1,Septiembre,2024
Arauca (Arauca),Maracuyá  ,2024-10-01,3840.0,1,Octubre,2024
Arauca (Arauca),Maracuyá  ,2024-11-01,4725.0,1,Noviembre,2024
