Mercado,Producto,Fecha,Precio $/KG,Dia,Mes,Anio
Arauca (Arauca),Plátano hartón verde,7/1/2016,1100,1,Julio,2016
Arauca (Arauca),Plátano hartón verde,8/1/2016,1225,1,Agosto,2016
Arauca (Arauca),Plátano hartón verde,9/1/2016,1275,1,Septiembre,2016
Arauca (Arauca),Plátano hartón verde,11/1/2016,1000,1,Noviembre,2016
Arauca (Arauca),Plátano hartón verde,12/1/2016,1000,1,Diciembre,2016
Arauca (Arauca),Plátano hartón verde,1/1/2017,938,1,Enero,2017
Arauca (Arauca),Plátano hartón verde,5/1/2017,849,1,Mayo,2017
Arauca (Arauca),Plátano hartón verde,6/1/2017,846,1,Junio,2017
Arauca (Arauca),Plátano hartón verde,8/1/2017,846,1,Agosto,2017
Arauca (Arauca),Plátano hartón verde,9/1/2017,846,1,Septiembre,2017
Arauca (Arauca),Plátano hartón verde,10/1/2017,846,1,Octubre,2017
Arauca (Arauca),Plátano hartón verde,12/1/2017,846,1,Diciembre,2017
Arauca (Arauca),Plátano hartón verde,1/1/2018,846,1,Enero,2018
Arauca (Arauca),Plátano hartón verde,2/1/2018,846,1,Febrero,2018
Arauca (Arauca),Plátano hartón verde,3/1/2018,964,1,Marzo,2018
Arauca (Arauca),Plátano hartón verde,4/1/2018,1000,1,Abril,2018
Arauca (Arauca),Plátano hartón verde,5/1/2018,1101,1,Mayo,2018
Arauca (Arauca),Plátano hartón verde,6/1/2018,1154,1,Junio,2018
Arauca (Arauca),Plátano hartón verde,10/1/2018,2116,1,Octubre,2018
Arauca (Arauca),Plátano hartón verde,11/1/2018,2123,1,Noviembre,2018
Arauca (Arauca),Plátano hartón verde,1/1/2019,1852,1,Enero,2019
Arauca (Arauca),Plátano hartón verde,2/1/2019,2043,1,Febrero,2019
Arauca (Arauca),Plátano hartón verde,3/1/2019,1981,1,Marzo,2019
Arauca (Arauca),Plátano hartón verde,4/1/2019,1896,1,Abril,2019
Arauca (Arauca),Plátano hartón verde,7/1/2019,2067,1,Julio,2019
Arauca (Arauca),Plátano hartón verde,8/1/2019,1941,1,Agosto,2019
Arauca (Arauca),Plátano hartón verde,9/1/2019,2044,1,Septiembre,2019
Arauca (Arauca),Plátano hartón verde,10/1/2019,2030,1,Octubre,2019
Arauca (Arauca),Plátano hartón verde,11/1/2019,1925,1,Noviembre,2019
Arauca (Arauca),Plátano hartón verde,12/1/2019,1843,1,Diciembre,2019
Arauca (Arauca),Plátano hartón verde,3/1/2020,1443,1,Marzo,2020
Arauca (Arauca),Plátano hartón verde,5/1/2020,1875,1,Mayo,2020
Arauca (Arauca),Plátano hartón verde,6/1/2020,1819,1,Junio,2020
Arauca (Arauca),Plátano hartón verde,9/1/2020,1574,1,Septiembre,2020
Arauca (Arauca),Plátano hartón verde,10/1/2020,1674,1,Octubre,2020
Arauca (Arauca),Plátano hartón verde,11/1/2020,1708,1,Noviembre,2020
Arauca (Arauca),Plátano hartón verde,12/1/2020,1507,1,Diciembre,2020
Arauca (Arauca),Plátano hartón verde,1/1/2021,1442,1,Enero,2021
Arauca (Arauca),Plátano hartón verde,2/1/2021,1458,1,Febrero,2021
Arauca (Arauca),Plátano hartón verde,3/1/2021,1300,1,Marzo,2021
Arauca (Arauca),Plátano hartón verde,4/1/2021,1433,1,Abril,2021
Arauca (Arauca),Plátano hartón verde,6/1/2021,1400,1,Junio,2021
Arauca (Arauca),Plátano hartón verde,7/1/2021,1563,1,Julio,2021
Arauca (Arauca),Plátano hartón verde,8/1/2021,1459,1,Agosto,2021
Arauca (Arauca),Plátano hartón verde,10/1/2021,1688,1,Octubre,2021
Arauca (Arauca),Plátano hartón verde,11/1/2021,1863,1,Noviembre,2021
Arauca (Arauca),Plátano hartón verde,2/1/2022,3250,1,Febrero,2022
Arauca (Arauca),Plátano hartón verde,3/1/2022,3533,1,Marzo,2022
Arauca (Arauca),Plátano hartón verde,5/1/2022,3052,1,Mayo,2022
Arauca (Arauca),Plátano hartón verde,7/1/2022,3137,1,Julio,2022
Arauca (Arauca),Plátano hartón verde,9/1/2022,2544,1,Septiembre,2022
Arauca (Arauca),Plátano hartón verde,11/1/2022,3033,1,Noviembre,2022
Arauca (Arauca),Plátano hartón verde,12/1/2022,3439,1,Diciembre,2022
Arauca (Arauca),Plátano hartón verde,1/1/2023,3867,1,Enero,2023
Arauca (Arauca),Plátano hartón verde,5/1/2023,3906,1,Mayo,2023
Arauca (Arauca),Plátano hartón verde,6/1/2023,3656,1,Junio,2023
Arauca (Arauca),Plátano hartón verde,8/1/2023,3280,1,Agosto,2023
Arauca (Arauca),Plátano hartón verde,9/1/2023,3000,1,Septiembre,2023
Arauca (Arauca),Plátano hartón verde,10/1/2023,3028,1,Octubre,2023
Arauca (Arauca),Plátano hartón verde,2/1/2024,2683,1,Febrero,2024
Arauca (Arauca),Plátano hartón verde,3/1/2024,2806,1,Marzo,2024
Arauca (Arauca),Plátano hartón verde,7/1/2024,2611,1,Julio,2024
Arauca (Arauca),Plátano hartón verde,9/1/2024,2371,1,Septiembre,2024
Arauca (Arauca),Plátano hartón verde,10/1/2024,2460,1,Octubre,2024
Arauca (Arauca),Plátano hartón verde,11/1/2024,2675,1,Noviembre,2024
